时间,用户1,用户2,用户3,用户4,用户5,用户6,用户7,用户8,用户9,用户10,用户11,用户12,用户13,用户14,用户15,用户16,用户17,用户18,用户19,用户20,用户21,用户22,用户23,用户24,用户25,用户26,用户27,用户28,用户29,用户30,用户31,用户32,用户33,用户34,用户35,用户36,用户37,用户38,用户39,用户40,用户41,用户42,用户43,用户44,用户45,用户46,用户47,用户48,用户49,用户50,用户51,用户52,用户53,用户54,用户55,用户56,用户57,用户58,用户59,用户60,用户61,用户62,用户63,用户64,用户65,用户66,用户67,用户68,用户69,用户70,用户71,用户72,用户73,用户74,用户75,用户76,用户77,用户78,用户79,用户80,用户81,用户82,用户83,用户84,用户85,用户86,用户87,用户88,用户89,用户90,用户91,用户92,用户93,用户94,用户95,用户96,用户97,用户98,用户99,用户100,用户101,用户102,用户103,用户104,用户105,用户106,用户107,用户108,用户109,用户110,用户111,用户112,用户113,用户114,用户115,用户116,用户117,用户118,用户119,用户120,用户121,用户122,用户123,用户124,用户125,用户126,用户127,用户128,用户129,用户130,用户131,用户132,用户133,用户134,用户135,用户136,损失电量(kW·h)
2020/4/1,168.30 ,90.90 ,176.10 ,215.70 ,323.20 ,381.00 ,724.80 ,282.90 ,110.70 ,122.10 ,380.10 ,218.10 ,4.20 ,2179.20 ,424.80 ,661.60 ,970.40 ,232.80 ,276.90 ,147.30 ,379.65 ,354.30 ,174.60 ,195.60 ,655.20 ,267.60 ,236.40 ,231.30 ,709.80 ,334.80 ,168.60 ,378.30 ,813.40 ,11.70 ,3032.00 ,137.60 ,2016.00 ,340.00 ,100.95 ,339.00 ,814.00 ,459.60 ,0.15 ,2688.00 ,10.00 ,2832.00 ,0.00 ,12.80 ,1061.70 ,3102.60 ,440.40 ,0.60 ,0.11 ,4170.00 ,424.00 ,117.60 ,22.80 ,680.80 ,79.20 ,175.05 ,0.00 ,171.60 ,81.60 ,28.00 ,290.85 ,609.00 ,1476.00 ,131.20 ,4.80 ,17.40 ,810.00 ,184.00 ,56.85 ,1266.00 ,99.20 ,84.60 ,846.00 ,864.00 ,97.20 ,634.20 ,813.00 ,756.60 ,61.65 ,218.10 ,79.80 ,479.50 ,295.80 ,70.50 ,195.30 ,421.50 ,426.80 ,322.50 ,299.70 ,271.80 ,381.30 ,398.40 ,379.50 ,169.50 ,166.20 ,72.00 ,130.50 ,321.60 ,297.00 ,639.00 ,543.60 ,236.10 ,95.70 ,981.60 ,200.40 ,1469.10 ,249.30 ,587.10 ,534.60 ,1015.50 ,206.00 ,101.70 ,159.60 ,312.00 ,382.80 ,321.60 ,219.30 ,372.60 ,200.40 ,180.00 ,183.30 ,98.00 ,432.90 ,148.00 ,80.10 ,385.80 ,593.10 ,634.20 ,5306.40 ,832.20 ,649.20 ,118.80 ,7963.99 
2020/4/2,145.50 ,89.70 ,169.80 ,239.70 ,300.80 ,346.50 ,819.20 ,274.50 ,116.70 ,115.50 ,408.90 ,200.70 ,4.50 ,2392.80 ,220.80 ,770.00 ,920.00 ,205.20 ,266.70 ,132.30 ,389.70 ,368.70 ,162.00 ,209.40 ,686.40 ,289.20 ,249.60 ,215.40 ,226.20 ,489.00 ,177.00 ,361.20 ,802.00 ,14.40 ,2720.00 ,157.60 ,2088.00 ,4830.00 ,103.80 ,357.90 ,791.60 ,478.35 ,0.15 ,2484.00 ,19.50 ,2232.00 ,96.00 ,20.00 ,1144.20 ,0.02 ,382.95 ,1.27 ,144.60 ,4542.00 ,394.40 ,291.20 ,33.30 ,736.80 ,53.40 ,157.80 ,0.00 ,439.20 ,2.40 ,12.80 ,338.55 ,609.60 ,1729.20 ,160.80 ,5.20 ,14.40 ,30.00 ,232.00 ,154.95 ,1350.00 ,109.60 ,93.30 ,2244.00 ,828.00 ,79.80 ,770.10 ,822.00 ,801.90 ,58.65 ,145.80 ,76.40 ,456.50 ,229.80 ,86.70 ,199.20 ,42.00 ,440.00 ,346.80 ,295.80 ,243.00 ,405.90 ,402.00 ,338.40 ,164.10 ,153.90 ,65.70 ,118.50 ,344.40 ,268.20 ,624.60 ,561.60 ,235.50 ,83.10 ,1060.20 ,184.20 ,1445.70 ,257.10 ,677.40 ,494.10 ,1022.10 ,267.60 ,126.60 ,168.30 ,240.00 ,363.60 ,351.30 ,206.10 ,357.60 ,203.40 ,180.90 ,166.50 ,100.00 ,458.40 ,158.00 ,90.90 ,361.80 ,599.10 ,748.20 ,5615.20 ,811.80 ,670.50 ,129.90 ,9021.66 
2020/4/3,149.70 ,95.40 ,195.90 ,255.00 ,313.60 ,370.80 ,880.80 ,291.30 ,141.30 ,133.20 ,441.60 ,224.70 ,4.20 ,2372.40 ,283.20 ,760.40 ,996.00 ,243.90 ,247.80 ,152.70 ,421.95 ,408.60 ,187.20 ,237.00 ,739.20 ,290.40 ,236.40 ,248.70 ,717.00 ,345.90 ,201.90 ,405.60 ,868.00 ,15.00 ,2952.00 ,203.20 ,1728.00 ,4530.00 ,99.75 ,378.60 ,792.40 ,479.25 ,0.30 ,972.00 ,12.00 ,3984.00 ,140.40 ,18.40 ,1098.30 ,3080.40 ,380.70 ,0.60 ,0.04 ,4464.00 ,407.20 ,297.60 ,30.00 ,793.60 ,36.30 ,197.25 ,0.00 ,424.20 ,31.20 ,36.00 ,240.75 ,610.80 ,1333.20 ,160.80 ,3.60 ,17.40 ,66.00 ,208.00 ,124.20 ,1188.00 ,129.60 ,72.60 ,912.00 ,780.00 ,229.80 ,814.80 ,865.50 ,814.80 ,61.05 ,35.40 ,92.30 ,449.50 ,240.60 ,71.10 ,206.10 ,35.00 ,440.80 ,367.80 ,298.50 ,273.60 ,443.70 ,421.80 ,328.80 ,180.00 ,184.50 ,69.00 ,133.20 ,334.50 ,283.80 ,652.80 ,585.60 ,244.80 ,79.50 ,918.00 ,205.80 ,1522.50 ,274.80 ,633.60 ,504.30 ,1032.90 ,231.60 ,120.90 ,163.80 ,258.60 ,381.60 ,279.00 ,231.30 ,395.40 ,200.10 ,196.50 ,174.00 ,104.00 ,440.10 ,190.00 ,84.90 ,370.80 ,736.80 ,743.40 ,5173.60 ,1006.80 ,675.30 ,123.30 ,8964.42 
2020/4/4,123.90 ,79.80 ,179.10 ,184.20 ,306.00 ,366.30 ,648.40 ,271.20 ,124.50 ,129.30 ,360.30 ,201.30 ,4.50 ,2083.20 ,250.80 ,478.00 ,983.60 ,221.70 ,236.10 ,133.50 ,401.25 ,368.40 ,157.20 ,169.80 ,619.20 ,253.20 ,225.60 ,240.00 ,79.80 ,312.30 ,153.00 ,346.80 ,895.40 ,11.10 ,1168.00 ,164.80 ,1524.00 ,6900.00 ,80.70 ,333.00 ,748.80 ,458.10 ,0.15 ,432.00 ,4.00 ,3258.00 ,1080.00 ,13.60 ,1079.10 ,0.02 ,390.90 ,1.28 ,27.90 ,4368.00 ,336.00 ,58.40 ,25.20 ,620.80 ,29.10 ,69.00 ,2.40 ,58.80 ,28.00 ,6.40 ,116.70 ,607.80 ,1940.40 ,180.00 ,3.60 ,9.60 ,912.00 ,160.00 ,47.55 ,624.00 ,36.80 ,18.30 ,1962.00 ,768.00 ,126.00 ,587.10 ,849.60 ,717.00 ,57.60 ,50.70 ,76.70 ,400.50 ,244.20 ,47.40 ,219.30 ,406.50 ,400.40 ,313.80 ,292.20 ,216.60 ,371.10 ,409.20 ,273.30 ,150.30 ,166.50 ,65.40 ,129.90 ,348.60 ,256.80 ,286.20 ,530.40 ,231.00 ,70.50 ,703.20 ,184.80 ,712.20 ,254.40 ,468.90 ,435.30 ,599.70 ,215.60 ,108.90 ,153.60 ,295.20 ,327.00 ,239.40 ,178.50 ,390.60 ,171.60 ,210.60 ,186.90 ,89.00 ,444.30 ,172.00 ,92.70 ,378.60 ,583.50 ,510.60 ,4890.40 ,632.40 ,660.30 ,116.70 ,7356.28 
2020/4/5,144.90 ,70.20 ,156.90 ,175.80 ,289.20 ,331.80 ,633.20 ,234.30 ,133.20 ,126.30 ,365.40 ,185.40 ,3.60 ,2170.80 ,337.20 ,396.40 ,860.00 ,227.10 ,218.40 ,113.10 ,345.45 ,327.90 ,142.80 ,143.40 ,602.40 ,254.40 ,217.20 ,224.40 ,244.20 ,313.50 ,189.00 ,356.10 ,853.80 ,11.70 ,2288.00 ,136.80 ,1836.00 ,6990.00 ,118.20 ,313.50 ,737.20 ,463.80 ,0.30 ,444.00 ,12.00 ,3312.00 ,70.20 ,12.80 ,1097.70 ,3030.00 ,336.60 ,0.40 ,0.03 ,3960.00 ,264.80 ,289.60 ,20.70 ,705.60 ,20.85 ,72.00 ,1.60 ,55.20 ,112.00 ,6.40 ,82.50 ,753.00 ,1130.40 ,176.80 ,4.00 ,16.80 ,672.00 ,144.00 ,50.40 ,702.00 ,79.20 ,52.20 ,180.00 ,894.00 ,121.20 ,662.40 ,821.70 ,692.10 ,53.40 ,36.60 ,67.60 ,366.50 ,255.00 ,36.00 ,198.90 ,76.50 ,400.40 ,303.30 ,261.60 ,190.80 ,372.90 ,376.80 ,295.50 ,138.30 ,137.40 ,62.10 ,122.40 ,312.60 ,239.40 ,245.40 ,510.00 ,207.90 ,74.70 ,601.20 ,216.00 ,1333.50 ,248.40 ,463.80 ,454.50 ,594.90 ,242.00 ,95.10 ,145.50 ,262.20 ,328.20 ,223.80 ,168.90 ,375.60 ,161.40 ,172.20 ,174.30 ,92.00 ,419.10 ,133.00 ,93.00 ,335.40 ,559.50 ,740.40 ,5072.80 ,834.00 ,640.20 ,103.20 ,7529.62 
2020/4/6,122.10 ,75.60 ,138.90 ,130.80 ,273.20 ,342.60 ,561.60 ,249.60 ,136.80 ,130.50 ,318.30 ,168.00 ,4.20 ,1927.80 ,410.40 ,377.60 ,807.60 ,211.80 ,219.30 ,110.10 ,324.45 ,301.50 ,132.00 ,157.20 ,564.00 ,235.20 ,202.80 ,217.50 ,556.80 ,478.20 ,174.60 ,339.60 ,809.00 ,9.90 ,2976.00 ,90.40 ,3252.00 ,6750.00 ,90.00 ,302.40 ,668.40 ,425.55 ,0.15 ,828.00 ,10.00 ,1812.00 ,204.00 ,16.00 ,1055.70 ,0.01 ,393.90 ,1.29 ,0.60 ,3966.00 ,281.60 ,348.80 ,18.60 ,640.80 ,24.75 ,185.85 ,1.60 ,400.80 ,167.20 ,119.20 ,10.95 ,738.60 ,1689.00 ,184.80 ,4.00 ,20.40 ,780.00 ,280.00 ,223.65 ,1512.00 ,68.00 ,50.70 ,870.00 ,864.00 ,335.40 ,609.00 ,723.00 ,713.70 ,57.15 ,52.80 ,64.60 ,347.00 ,256.20 ,18.00 ,192.60 ,36.50 ,392.40 ,330.00 ,258.90 ,264.60 ,349.80 ,364.20 ,294.00 ,144.90 ,139.50 ,63.60 ,117.30 ,314.40 ,230.40 ,587.40 ,481.20 ,213.60 ,69.60 ,487.20 ,162.60 ,1518.90 ,244.50 ,540.00 ,455.10 ,723.30 ,171.20 ,98.70 ,137.10 ,265.80 ,319.80 ,223.80 ,179.10 ,365.40 ,172.50 ,155.10 ,166.20 ,91.00 ,408.30 ,127.00 ,72.90 ,318.00 ,529.20 ,754.80 ,5071.20 ,792.90 ,518.70 ,110.70 ,7587.86 
2020/4/7,132.60 ,62.70 ,139.50 ,130.50 ,266.40 ,323.10 ,527.20 ,224.70 ,114.00 ,109.80 ,292.20 ,164.10 ,4.20 ,2016.60 ,433.20 ,480.40 ,753.20 ,210.90 ,225.30 ,105.30 ,331.95 ,272.10 ,119.40 ,156.60 ,525.60 ,250.80 ,201.60 ,190.20 ,192.60 ,186.90 ,122.10 ,371.10 ,773.60 ,12.90 ,2120.00 ,91.20 ,3144.00 ,5150.00 ,86.10 ,282.30 ,619.60 ,408.30 ,0.15 ,936.00 ,7.50 ,3342.00 ,0.00 ,17.60 ,1069.20 ,2985.60 ,338.55 ,0.20 ,3.35 ,3006.00 ,271.20 ,49.60 ,23.10 ,571.20 ,31.65 ,168.00 ,4.00 ,222.60 ,212.00 ,106.40 ,67.50 ,726.60 ,1861.20 ,193.60 ,5.20 ,18.00 ,738.00 ,1160.00 ,262.35 ,1038.00 ,67.20 ,51.30 ,2172.00 ,774.00 ,181.80 ,625.20 ,692.40 ,757.20 ,49.80 ,311.70 ,65.20 ,351.50 ,254.40 ,18.00 ,185.40 ,24.50 ,405.20 ,309.30 ,247.20 ,285.00 ,355.20 ,357.00 ,268.50 ,135.30 ,136.50 ,55.50 ,126.90 ,311.40 ,216.00 ,764.40 ,448.80 ,196.50 ,64.50 ,463.20 ,156.00 ,1405.80 ,234.30 ,520.20 ,409.80 ,717.90 ,223.60 ,90.90 ,127.80 ,229.80 ,312.00 ,216.30 ,177.30 ,360.60 ,153.90 ,148.50 ,168.60 ,91.00 ,382.20 ,128.00 ,64.50 ,276.60 ,625.50 ,655.20 ,4939.20 ,675.30 ,434.10 ,105.30 ,7129.48 
2020/4/8,121.80 ,62.10 ,152.10 ,131.70 ,254.40 ,315.90 ,538.00 ,226.20 ,109.50 ,113.10 ,296.40 ,176.10 ,3.60 ,1889.40 ,342.00 ,470.80 ,706.00 ,195.90 ,200.40 ,102.60 ,324.30 ,263.40 ,120.00 ,157.80 ,506.40 ,213.60 ,181.20 ,186.30 ,158.40 ,401.70 ,132.90 ,433.80 ,793.40 ,12.30 ,1744.00 ,82.40 ,3204.00 ,400.00 ,93.30 ,287.40 ,657.60 ,408.90 ,0.15 ,1200.00 ,4.50 ,1710.00 ,72.00 ,13.60 ,1006.80 ,0.01 ,328.65 ,1.28 ,677.10 ,4116.00 ,229.60 ,60.80 ,33.30 ,128.00 ,17.70 ,137.85 ,8.80 ,252.00 ,212.80 ,104.00 ,44.25 ,583.20 ,1251.60 ,214.40 ,2.80 ,17.40 ,684.00 ,288.00 ,94.95 ,1428.00 ,60.80 ,55.80 ,2982.00 ,816.00 ,108.00 ,522.00 ,625.20 ,588.30 ,53.10 ,185.10 ,55.00 ,349.00 ,225.00 ,24.90 ,195.60 ,39.00 ,382.40 ,294.30 ,260.40 ,238.80 ,365.10 ,373.80 ,254.40 ,137.70 ,114.90 ,63.00 ,123.60 ,298.20 ,223.20 ,618.00 ,451.20 ,184.80 ,67.20 ,448.20 ,159.60 ,1259.40 ,213.90 ,540.60 ,408.30 ,668.70 ,194.40 ,99.30 ,137.70 ,235.20 ,316.80 ,204.60 ,158.10 ,322.80 ,159.90 ,145.20 ,163.20 ,92.00 ,380.40 ,136.00 ,63.60 ,283.80 ,469.20 ,490.80 ,4896.00 ,735.60 ,350.40 ,109.80 ,6999.28 
2020/4/9,122.10 ,67.20 ,131.40 ,114.00 ,252.00 ,316.50 ,478.40 ,213.90 ,112.20 ,126.30 ,271.80 ,163.50 ,3.60 ,1905.00 ,370.80 ,492.00 ,696.80 ,207.90 ,216.60 ,106.80 ,301.20 ,261.60 ,142.80 ,158.40 ,513.60 ,216.00 ,187.20 ,214.20 ,427.20 ,392.70 ,144.60 ,466.80 ,850.80 ,12.60 ,1816.00 ,86.40 ,2604.00 ,4330.00 ,87.30 ,301.50 ,634.00 ,404.25 ,0.30 ,1332.00 ,6.50 ,3930.00 ,140.70 ,17.60 ,1025.40 ,3138.00 ,321.15 ,0.80 ,2.31 ,3774.00 ,240.00 ,278.40 ,35.10 ,574.40 ,17.10 ,174.15 ,9.60 ,297.00 ,221.60 ,90.40 ,97.50 ,662.40 ,1494.60 ,219.20 ,4.00 ,16.50 ,576.00 ,176.00 ,156.30 ,1656.00 ,67.20 ,48.00 ,168.00 ,1020.00 ,198.00 ,435.00 ,675.60 ,720.30 ,49.65 ,408.90 ,60.20 ,331.00 ,220.20 ,31.20 ,181.20 ,30.00 ,369.20 ,303.30 ,245.10 ,270.00 ,334.50 ,356.40 ,339.30 ,144.60 ,124.80 ,58.50 ,139.80 ,267.30 ,217.20 ,523.20 ,442.80 ,197.70 ,64.20 ,460.20 ,159.60 ,1399.50 ,245.40 ,517.20 ,416.70 ,747.00 ,240.40 ,93.00 ,139.50 ,219.00 ,325.20 ,213.30 ,165.30 ,333.60 ,169.50 ,146.40 ,156.30 ,95.00 ,340.80 ,137.00 ,60.90 ,278.40 ,522.60 ,718.20 ,4939.20 ,699.60 ,365.40 ,135.60 ,6869.08 
2020/4/10,117.30 ,56.70 ,130.50 ,150.60 ,236.80 ,341.40 ,640.40 ,227.70 ,109.20 ,121.50 ,268.80 ,172.50 ,4.50 ,1998.60 ,288.00 ,484.40 ,740.80 ,184.20 ,214.20 ,106.80 ,307.20 ,285.30 ,121.80 ,154.20 ,530.40 ,222.00 ,184.80 ,214.50 ,713.40 ,406.80 ,127.50 ,474.90 ,775.80 ,8.40 ,1600.00 ,92.80 ,2244.00 ,7050.00 ,93.15 ,286.80 ,663.20 ,402.75 ,0.15 ,972.00 ,4.50 ,3702.00 ,760.00 ,21.60 ,1015.80 ,0.02 ,438.90 ,1.30 ,769.50 ,4032.00 ,238.40 ,316.80 ,40.80 ,728.00 ,24.45 ,174.30 ,0.00 ,282.60 ,127.20 ,21.60 ,61.50 ,658.20 ,1912.80 ,226.40 ,1.20 ,12.60 ,696.00 ,184.00 ,50.10 ,1350.00 ,68.80 ,50.40 ,786.00 ,894.00 ,252.00 ,534.30 ,712.80 ,642.90 ,59.85 ,300.00 ,63.60 ,356.50 ,196.80 ,16.20 ,163.50 ,138.00 ,340.80 ,278.70 ,244.50 ,217.20 ,303.30 ,375.60 ,317.70 ,154.20 ,121.80 ,75.00 ,131.70 ,280.50 ,223.80 ,871.20 ,430.80 ,183.30 ,68.70 ,450.00 ,166.80 ,1421.10 ,209.40 ,557.10 ,444.90 ,689.40 ,232.00 ,87.60 ,129.30 ,199.80 ,327.60 ,192.30 ,155.70 ,327.60 ,156.00 ,146.10 ,165.00 ,83.00 ,287.10 ,124.00 ,64.20 ,289.20 ,736.80 ,664.20 ,5129.60 ,770.70 ,350.10 ,104.70 ,7064.82 
2020/4/11,128.70 ,64.20 ,152.40 ,213.60 ,238.80 ,393.60 ,771.60 ,259.20 ,124.80 ,161.40 ,320.40 ,223.80 ,3.90 ,2158.20 ,289.20 ,522.80 ,835.20 ,214.20 ,252.90 ,110.70 ,367.05 ,354.60 ,144.60 ,201.60 ,504.00 ,223.20 ,182.40 ,209.10 ,183.00 ,321.30 ,174.60 ,516.30 ,803.00 ,17.40 ,1200.00 ,122.40 ,1860.00 ,6640.00 ,100.65 ,325.80 ,752.00 ,449.40 ,0.30 ,168.00 ,15.00 ,2580.00 ,75.90 ,36.00 ,1055.70 ,2890.80 ,424.50 ,1.60 ,2.86 ,3186.00 ,332.80 ,72.80 ,30.90 ,608.80 ,31.20 ,130.95 ,0.80 ,327.00 ,28.80 ,6.40 ,81.90 ,744.00 ,1178.40 ,228.00 ,0.00 ,27.30 ,450.00 ,208.00 ,139.80 ,1344.00 ,127.20 ,75.90 ,1854.00 ,762.00 ,112.20 ,628.50 ,765.60 ,596.10 ,74.55 ,187.20 ,85.80 ,425.50 ,237.60 ,66.00 ,201.00 ,379.50 ,430.80 ,358.20 ,252.30 ,240.60 ,378.30 ,381.00 ,301.80 ,163.50 ,125.40 ,63.90 ,139.80 ,286.20 ,255.00 ,579.60 ,472.80 ,203.40 ,68.10 ,586.20 ,162.60 ,1416.00 ,228.00 ,564.30 ,450.60 ,773.40 ,236.80 ,108.90 ,181.20 ,220.20 ,364.20 ,285.60 ,174.00 ,345.00 ,190.80 ,165.30 ,159.00 ,91.00 ,313.50 ,161.00 ,70.80 ,301.80 ,536.40 ,718.20 ,5272.80 ,750.60 ,393.60 ,110.40 ,6995.35 
2020/4/12,130.30 ,65.00 ,154.30 ,216.20 ,241.70 ,398.40 ,781.00 ,262.40 ,126.30 ,163.40 ,324.30 ,226.50 ,4.00 ,2184.60 ,292.70 ,529.20 ,845.40 ,216.80 ,256.00 ,112.10 ,371.54 ,358.90 ,146.40 ,204.10 ,510.20 ,225.90 ,184.60 ,211.70 ,185.20 ,325.20 ,176.70 ,522.60 ,812.80 ,17.60 ,1215.00 ,123.90 ,1883.00 ,6721.00 ,101.88 ,329.80 ,761.20 ,454.90 ,0.30 ,170.00 ,15.00 ,2612.00 ,76.80 ,36.40 ,1068.60 ,2926.20 ,429.70 ,1.62 ,2.90 ,3225.00 ,336.90 ,73.70 ,31.30 ,616.30 ,31.60 ,132.55 ,0.80 ,331.00 ,29.20 ,6.50 ,82.90 ,753.10 ,1192.80 ,230.80 ,0.00 ,27.60 ,456.00 ,211.00 ,141.50 ,1360.00 ,128.80 ,76.80 ,1877.00 ,771.00 ,113.60 ,636.20 ,775.00 ,603.40 ,75.50 ,189.50 ,86.90 ,430.70 ,240.50 ,66.80 ,203.50 ,384.00 ,436.10 ,362.60 ,255.40 ,243.50 ,382.90 ,385.70 ,305.50 ,165.50 ,126.90 ,64.70 ,141.50 ,289.70 ,258.10 ,586.70 ,478.60 ,205.90 ,68.90 ,593.40 ,164.60 ,1433.30 ,230.80 ,571.20 ,456.10 ,782.90 ,239.70 ,110.20 ,183.40 ,222.90 ,368.70 ,289.10 ,176.10 ,349.20 ,193.10 ,167.30 ,160.90 ,92.00 ,317.30 ,163.00 ,71.70 ,305.50 ,543.00 ,727.00 ,5337.30 ,759.80 ,398.40 ,111.80 ,7080.92 
2020/4/13,142.00 ,70.80 ,168.20 ,235.70 ,263.50 ,434.30 ,851.30 ,286.00 ,137.70 ,178.10 ,353.50 ,246.90 ,4.30 ,2381.20 ,319.10 ,576.80 ,921.50 ,236.30 ,279.00 ,122.10 ,404.98 ,391.30 ,159.50 ,222.40 ,556.10 ,246.30 ,201.30 ,230.70 ,201.90 ,354.50 ,192.60 ,569.70 ,886.00 ,19.20 ,1324.00 ,135.10 ,2052.00 ,7326.00 ,111.05 ,359.50 ,829.70 ,495.84 ,0.30 ,185.00 ,16.50 ,2847.00 ,83.70 ,39.70 ,1164.80 ,3189.60 ,468.40 ,1.77 ,3.20 ,3515.00 ,367.20 ,80.30 ,34.10 ,671.70 ,34.40 ,144.50 ,0.90 ,360.80 ,31.80 ,7.10 ,90.40 ,820.90 ,1300.20 ,251.60 ,0.00 ,30.10 ,497.00 ,230.00 ,154.25 ,1483.00 ,140.40 ,83.70 ,2046.00 ,841.00 ,123.80 ,693.50 ,844.70 ,657.70 ,82.25 ,206.60 ,94.70 ,469.50 ,262.20 ,72.80 ,221.80 ,418.50 ,475.30 ,395.20 ,278.40 ,265.50 ,417.40 ,420.40 ,333.00 ,180.40 ,138.40 ,70.50 ,154.30 ,315.80 ,281.40 ,639.50 ,521.70 ,224.40 ,75.10 ,646.80 ,179.40 ,1562.30 ,251.60 ,622.60 ,497.20 ,853.30 ,261.30 ,120.20 ,199.90 ,243.00 ,401.80 ,315.10 ,192.00 ,380.70 ,210.50 ,182.40 ,175.40 ,100.00 ,345.90 ,178.00 ,78.10 ,333.00 ,591.80 ,792.40 ,5817.70 ,828.20 ,434.30 ,121.80 ,7718.27 
2020/4/14,132.90 ,70.30 ,136.40 ,128.30 ,291.10 ,374.90 ,573.80 ,261.10 ,115.20 ,142.00 ,376.30 ,189.70 ,4.60 ,2452.10 ,238.90 ,557.30 ,891.30 ,226.50 ,254.00 ,146.30 ,348.38 ,311.30 ,139.90 ,164.70 ,667.10 ,253.00 ,241.70 ,224.00 ,1101.00 ,504.20 ,191.50 ,329.30 ,979.70 ,14.50 ,2808.00 ,139.50 ,2586.00 ,7455.00 ,113.20 ,340.30 ,778.70 ,440.60 ,0.15 ,749.00 ,16.50 ,3993.00 ,240.30 ,28.30 ,1270.60 ,0.00 ,367.50 ,1.52 ,890.40 ,3540.00 ,289.30 ,307.20 ,23.30 ,619.00 ,28.40 ,209.85 ,7.50 ,286.90 ,224.30 ,8.50 ,318.35 ,776.60 ,1799.90 ,233.70 ,5.70 ,20.90 ,664.00 ,207.00 ,180.20 ,1435.00 ,90.50 ,90.80 ,919.00 ,947.00 ,381.60 ,733.50 ,872.40 ,641.70 ,53.35 ,332.80 ,64.80 ,527.10 ,228.30 ,49.10 ,203.90 ,404.50 ,393.40 ,349.80 ,257.60 ,287.60 ,383.40 ,399.30 ,323.30 ,179.50 ,179.10 ,74.60 ,163.60 ,303.20 ,247.30 ,655.10 ,470.60 ,218.40 ,82.30 ,723.60 ,176.70 ,1423.20 ,272.10 ,571.00 ,481.90 ,862.50 ,217.70 ,100.40 ,135.00 ,275.60 ,379.50 ,213.10 ,194.70 ,400.70 ,162.50 ,162.20 ,194.30 ,127.00 ,494.00 ,158.00 ,84.50 ,296.10 ,763.50 ,765.30 ,5318.80 ,897.80 ,431.40 ,118.00 ,6508.18 
